,birthDate,birthPlace,assistences,field_goal_percentage,field_goal_percentage_3_pts,free_throw_percentage,games,player_efficiency_rating,points,total_rebounds,win_shares,effective_field_goal_percentage,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,salary
434,"March 28, 1968","Coral Gables, Florida",2.2,42.1,26.9,81.6,112,11.7,3.7,1.2,1.6,45.5,North Carolina State University,36.0,2.0,Orlando Magic,1991,6-0,"Hialeah-Miami Lakes in Hialeah, Florida",Chris Corchiani,Point Guard,Right,185lb,225000.0
435,"April 25, 1956","Arlington Heights, Illinois",1.7,48.4,18.9,74.7,891,13.6,8.5,5.9,37.3,48.5,DePaul University,18.0,1.0,Washington Bullets,1978,6-11,"John Hersey in Arlington Heights, Illinois",Dave Corzine,Center,Right,250lb,554285.7
437,"December 14, 1975","Los Angeles, California",0.0,35.9,0.0,77.8,19,12.3,2.6,0.8,0.0,35.9,"California State University, Long Beach",32.0,2.0,Denver Nuggets,1997,6-5,"Saint John Bosco in Bellflower, California",James Cotton,Shooting Guard,Left,220lb,351000.0
439,"August 13, 1990","Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5.0,1.0,Sacramento Kings,2010,6-11,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,9906497.0
441,"April 9, 1992","Los Angeles, California",1.2,42.9,39.3,83.5,344,11.1,9.5,2.9,13.8,53.6,University of California,31.0,2.0,Cleveland Cavaliers,2013,6-6,"Price in Los Angeles, California",Allen Crabbe,Shooting Guard,Right,212lb,9910444.0
442,"May 13, 1975","Kalamazoo, Michigan",0.6,43.7,34.7,82.4,252,12.9,6.6,2.2,6.5,46.2,Marquette University,50.0,2.0,Atlanta Hawks,1997,6-9,"Comstock in Kalamazoo, Michigan",Chris Crawford,Power Forward,Right,235lb,2036500.0
443,"March 20, 1980","Seattle, Washington",3.4,41.0,34.8,86.2,1326,15.1,14.6,2.2,60.6,47.7,University of Michigan,8.0,1.0,Cleveland Cavaliers,2000,6-5,"Rainier Beach in Seattle, Washington",Jamal Crawford,Shooting Guard and Point Guard,Right,185lb,6278698.5
444,"October 23, 1988","Detroit, Michigan",3.1,41.1,31.7,82.6,281,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27.0,1.0,New Jersey Nets,2010,6-4,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,1011160.7
446,"June 20, 1965","Bakersfield, California",0.5,47.9,-,76.0,31,9.1,2.8,2.1,0.1,47.9,Texas A&M University,53.0,3.0,Phoenix Suns,1987,6-7,"South in Bakersfield, California",Winston Crite,Small Forward,Right,233lb,112500.0
447,"December 31, 1987","Atlanta, Georgia",1.8,44.2,23.1,63.8,113,10.6,5.3,2.4,0.1,45.4,Georgia Institute of Technology,19.0,1.0,Los Angeles Lakers,2007,6-5,"Southwest Atlanta Christian Academy in Atlanta, Georgia",Javaris Crittenton,Shooting Guard and Point Guard,Right,200lb,1381560.0
448,"May 1, 1975","Los Angeles, California",1.0,40.7,34.0,86.1,659,14.3,6.8,4.0,27.6,46.6,Providence College,12.0,1.0,Indiana Pacers,1997,6-9,"Crossroads School in Los Angeles, California",Austin Croshere,Power Forward,Right,235lb,4267814.5
451,"July 6, 1990","Villa Rica, Georgia",1.4,42.3,33.9,77.8,543,13.0,9.5,3.9,28.7,51.1,Marquette University,34.0,2.0,Cleveland Cavaliers,2012,6-6,"Villa Rica in Villa Rica, Georgia",Jae Crowder,Small Forward,Right,235lb,3564521.8
452,"July 11, 1956","Johnstown, Pennsylvania",1.2,49.7,0.0,73.7,683,13.3,9.6,5.6,22.6,49.7,University of Cincinnati,59.0,3.0,Milwaukee Bucks,1978,6-9,"Johnstown in Johnstown, Pennsylvania",Pat Cummings,Power Forward and Center,Right,230lb,662375.0
453,"March 15, 1961","Chicago, Illinois",1.9,48.4,29.5,70.6,1183,18.3,16.4,7.3,91.1,48.5,DePaul University,2.0,1.0,San Diego Clippers,1982,6-9,"Carver in Chicago, Illinois",Terry Cummings,Power Forward and Small Forward,Right,220lb,1600973.4
454,"February 29, 1976","Thomson, Georgia",2.7,38.3,32.1,72.6,199,11.8,6.9,1.9,2.2,42.3,University of Pittsburgh,26.0,1.0,Indiana Pacers,1999,6-3,"Thomson in Thomson, Georgia",Vonteego Cummings,Point Guard,Right,185lb,757200.0
455,"April 22, 1987","Clinton, Maryland",0.7,46.9,34.5,64.9,715,11.1,5.8,3.7,24.9,49.8,Villanova University,33.0,2.0,Portland Trail Blazers,2009,6-8,"Potomac in Dumfries, Virginia",Dante Cunningham,Power Forward and Small Forward,Right,230lb,1844441.6
456,"May 22, 1991","Oakland, California",0.5,34.7,30.6,67.4,84,6.8,2.3,0.7,0.2,40.2,Oregon State University,24.0,1.0,Cleveland Cavaliers,2012,6-4,"San Leandro in San Leandro, California",Jared Cunningham,Shooting Guard,Right,195lb,850948.5
459,"September 3, 1957","Detroit, Michigan",1.0,47.3,0.0,53.8,674,10.4,5.4,4.7,14.4,47.3,"Robert Morris University (PA), University of Detroit Mercy",58.0,3.0,Philadelphia 76ers,1979,6-9,"Finney in Detroit, Michigan",Earl Cureton,Center and Power Forward,Right,210lb,212040.0
460,"May 29, 1972","Boston, Massachusetts",0.4,44.4,22.2,74.3,147,8.2,2.7,2.0,1.6,44.6,Boston College,22.0,1.0,San Antonio Spurs,1994,6-9,"Duxbury in Duxbury, Massachusetts",Bill Curley,Small Forward and Power Forward,Right,220lb,846020.9
461,"June 25, 1964","Harrisonburg, Virginia",1.8,45.7,40.2,84.3,1083,16.0,11.7,2.4,41.5,51.3,Virginia Polytechnic Institute and State University,15.0,1.0,Utah Jazz,1986,6-4,"Fort Defiance in Fort Defiance, Virginia",Dell Curry,Shooting Guard,Right,190lb,1416500.0
463,"January 7, 1986","Pleasant Grove, North Carolina",0.0,-,-,-,1,-,0.0,0.0,0.0,-,Oklahoma State University,51.0,2.0,Chicago Bulls,2007,6-3,"Eastern Alamance in Mebane, North Carolina",JamesOn Curry,Point Guard,Right,190lb,227040.0
466,"March 14, 1988","Akron, Ohio",6.6,47.7,43.6,90.5,694,23.8,23.5,4.5,102.9,58.2,Davidson College,7.0,1.0,Golden State Warriors,2009,6-3,"Charlotte Christian in Charlotte, North Carolina",Stephen Curry,Point Guard,Right,190lb,10153646.0
468,"January 22, 1961","Baltimore, Maryland",2.3,45.4,15.8,77.9,528,15.1,14.1,2.5,12.7,45.6,University of San Francisco,7.0,1.0,Chicago Bulls,1982,6-3,"Cardinal Gibbons in Baltimore, Maryland",Quintin Dailey,Shooting Guard,Right,180lb,357500.0
469,"May 10, 1981","Port-Au-Prince, Haiti",0.5,52.1,8.3,70.6,886,15.4,7.7,7.8,51.3,52.1,Seton Hall University,26.0,1.0,Philadelphia 76ers,2001,6-11,"Saint Patrick in Elizabeth, New Jersey",Samuel Dalembert,Center,Right,255lb,6106117.5
470,"July 14, 1975","Jackson, Mississippi",0.8,49.8,12.5,62.6,987,14.3,7.4,7.1,52.7,49.8,Mississippi State University,10.0,1.0,Indiana Pacers,1996,6-11,"Lawrence County in Monticello, Mississippi",Erick Dampier,Center,Right,265lb,6122742.0
471,"March 19, 1975","Columbus, Ohio",3.4,44.4,31.1,79.3,872,14.6,7.6,1.8,47.0,47.9,Bowling Green State University,4.0,1.0,Vancouver Grizzlies,1997,6-4,"Saint Francis DeSales in Columbus, Ohio",Antonio Daniels,Shooting Guard and Point Guard,Right,195lb,3790417.0
477,"February 28, 1956","Washington, District of Columbia",3.0,54.0,17.1,81.8,955,21.5,24.3,5.7,134.2,54.0,University of Notre Dame,6.0,1.0,Buffalo Braves,1976,6-5,"DeMatha Catholic in Hyattsville, Maryland",Adrian Dantley,Small Forward,Right,208lb,813000.0
478,"October 10, 1972","Kano, Nigeria",0.0,39.6,-,57.0,110,6.2,2.1,2.6,-0.7,39.6,George Washington University,14.0,1.0,New Jersey Nets,1994,7-0,"Milford Academy in Milford, Connecticut",Yinka Dare,Center,Right,265lb,1442500.0
480,"October 19, 1965","Black Mountain, North Carolina",3.7,53.2,14.3,74.7,548,18.9,19.0,9.5,65.2,53.2,University of North Carolina,1.0,1.0,Cleveland Cavaliers,1986,7-0,"Charles D. Owen in Swannanoa, North Carolina",Brad Daugherty,Center,Right,245lb,2389333.2
482,"November 15, 1984","Atlanta, Georgia",0.3,42.5,-,57.8,52,10.5,3.1,1.8,0.0,42.5,University of Alabama,36.0,2.0,Golden State Warriors,2007,6-10,"Wheeler in Atlanta, Georgia",Jermareo Davidson,Small Forward,Right,230lb,424944.0
483,"March 11, 1993","Chicago, Illinois",2.1,51.7,31.4,79.5,466,27.4,23.7,10.5,72.0,52.8,University of Kentucky,1.0,1.0,New Orleans Hornets,2012,6-10,"Perspectives Charter School in Chicago, Illinois",Anthony Davis,Power Forward and Center,Right,253lb,11515044.0
484,"October 31, 1968","Oakland, California",1.1,44.8,8.7,72.7,903,14.1,10.0,7.5,59.6,44.8,University of Texas at El Paso,45.0,2.0,Indiana Pacers,1990,6-9,"McClymonds in Oakland, California",Antonio Davis,Center and Power Forward,Right,215lb,6749231.0
485,"April 13, 1979","Los Angeles, California",7.2,40.9,32.0,71.1,835,17.8,16.1,3.8,63.1,46.5,"University of California, Los Angeles",3.0,1.0,Charlotte Hornets,1999,6-3,"Crossroads in Santa Monica, California",Baron Davis,Point Guard,Right,209lb,9846199.0
486,"December 26, 1972","Vero Beach, Florida",0.1,35.6,-,46.2,40,12.5,1.4,1.3,0.1,35.6,"University of Kansas, University of Arizona",43.0,2.0,Phoenix Suns,1996,6-9,"Oak Hill Academy in Mouth of Wilson, Virginia",Ben Davis,Power Forward,Right,240lb,178443.2
487,"December 17, 1955","Monaca, Pennsylvania",4.9,51.0,32.1,82.8,961,14.7,8.2,1.8,53.6,53.4,University of Maryland,15.0,1.0,Los Angeles Lakers,1977,6-3,"Monaca in Monaca, Pennsylvania",Brad Davis,Point Guard,Right,180lb,361350.0
488,"June 21, 1970","Atlantic City, New Jersey",0.3,31.7,33.3,73.5,68,9.2,1.9,0.8,0.0,32.1,Duke University,48.0,2.0,Phoenix Suns,1992,6-7,"Bladensburg in Bladensburg, Maryland",Brian Davis,Small Forward,Right,200lb,150000.0
489,"October 5, 1958","Nashville, Tennessee",0.7,45.1,17.0,73.7,415,11.6,5.3,2.4,5.8,45.5,Vanderbilt University,35.0,2.0,Washington Bullets,1981,6-7,"McGavock in Nashville, Tennessee",Charles Davis,Small Forward,Right,215lb,120000.0
490,"March 25, 1969","Toccoa, Georgia",0.9,53.0,0.0,56.2,1094,15.2,8.0,7.9,86.9,53.0,Clemson University,13.0,1.0,Indiana Pacers,1991,6-11,"Stephens County in Toccoa, Georgia",Dale Davis,Power Forward and Center,Right,230lb,4830122.5
491,"December 2, 1996","Muskegon, Michigan",0.4,59.9,0.0,63.5,107,15.4,4.2,3.2,3.6,59.9,Michigan State University,31.0,2.0,Boston Celtics,2016,6-11,"Muskegon in Muskegon, Michigan",Deyonta Davis,Center,Right,237lb,1340920.0
492,"June 5, 1989","Washington, District of Columbia",0.8,56.9,0.0,58.4,640,16.7,6.5,6.8,41.3,56.9,University of North Carolina,13.0,1.0,Toronto Raptors,2010,6-10,"Benedictine in Richmond, Virginia",Ed Davis,Center and Power Forward,Left,225lb,3792922.8
494,"January 1, 1986","Baton Rouge, Louisiana",0.9,44.7,18.2,70.0,514,12.4,8.0,4.4,18.6,44.8,Louisiana State University,35.0,2.0,Seattle SuperSonics,2007,6-9,"Louisiana State University Laboratory School in Baton Rouge, Louisiana",Glen Davis,Power Forward and Center,Right,289lb,3818518.2
495,"May 17, 1970","Winston-Salem, North Carolina",1.7,45.8,44.1,83.7,685,11.8,8.2,1.5,27.7,53.7,University of North Carolina,20.0,1.0,New York Knicks,1992,6-5,"Lake Braddock Secondary in Burke, Virginia",Hubert Davis,Point Guard and Shooting Guard,Right,183lb,1400041.6
496,"October 21, 1955","Detroit, Michigan",4.5,44.8,17.6,82.1,750,14.3,12.9,2.0,38.5,45.0,University of Dayton,22.0,2.0,Portland Trail Blazers,1976,6-2,"Murray-Wright in Detroit, Michigan",Johnny Davis,Point Guard and Shooting Guard,Right,170lb,387500.0
498,"April 26, 1973","Thibodaux, Louisiana",1.3,44.2,24.6,65.5,230,11.9,5.5,3.0,2.3,45.5,"Howard College, Texas Tech University",48.0,2.0,Minnesota Timberwolves,1995,6-7,"Thibodaux in Thibodaux, Louisiana",Mark Davis,Small Forward,Right,210lb,176040.0
499,"July 21, 1984","Detroit, Michigan",0.4,40.2,0.0,73.2,82,10.6,2.6,1.9,0.5,40.2,Michigan State University,34.0,2.0,Los Angeles Clippers,2006,6-11,"Rochester in Rochester, Michigan",Paul Davis,Power Forward and Center,Right,270lb,377269.5
500,"September 23, 1979","Las Vegas, Nevada",3.3,44.6,36.1,78.1,736,14.7,13.5,3.5,28.0,48.0,University of Iowa,21.0,1.0,Charlotte Hornets,1998,6-6,"North in Davenport, Iowa",Ricky Davis,Small Forward and Shooting Guard,Right,195lb,3572743.2
502,"September 9, 1954","Pineville, North Carolina",3.8,51.1,27.2,85.1,1033,19.1,18.9,3.0,76.9,51.6,University of North Carolina,5.0,1.0,Phoenix Suns,1977,6-6,"South Mecklenburg in Charlotte, North Carolina",Walter Davis,Small Forward and Shooting Guard,Right,193lb,687857.1
505,"September 28, 1963","Washington, District of Columbia",5.5,45.6,33.0,85.7,541,14.7,11.1,2.5,21.8,47.4,Duke University,10.0,1.0,San Antonio Spurs,1986,6-2,"Mackin in Washington, District of Columbia",Johnny Dawkins,Point Guard,Left,165lb,1230000.0
506,"February 1, 1993","Gary, Indiana",0.0,40.0,-,100.0,6,7.1,0.8,0.7,0.0,40.0,Michigan State University,56.0,2.0,New Orleans Pelicans,2015,6-6,"Lew Wallace in Gary, Indiana",Branden Dawson,Power Forward,Right,225lb,525093.0
508,"January 7, 1970","Decatur, Illinois",1.5,40.6,34.5,73.9,483,14.1,12.3,3.4,17.5,46.2,University of Arkansas,8.0,1.0,Milwaukee Bucks,1992,6-6,"Hamilton in Memphis, Tennessee",Todd Day,Shooting Guard,Right,188lb,1514906.2
509,"June 5, 1988","Irvine, California",0.7,40.2,35.1,77.8,293,11.6,5.2,2.6,4.5,46.9,Gonzaga University,15.0,1.0,Detroit Pistons,2009,6-11,"Woodbridge in Irvine, California",Austin Daye,Small Forward,Right,220lb,1500804.6
510,"November 30, 1960","Des Moines, Iowa",2.0,49.1,11.8,68.1,328,13.9,6.8,2.6,9.3,49.1,"University of California, Los Angeles",57.0,3.0,Washington Bullets,1983,6-8,"John F. Kennedy in Granada Hills, California",Darren Daye,Small Forward,Right,220lb,107500.0
512,"February 1, 1973","Detroit, Michigan",0.6,50.7,0.0,62.1,587,12.1,4.8,4.2,19.3,50.7,University of Florida,34.0,2.0,Golden State Warriors,1995,6-10,"Countryside in Clearwater, Florida",Andrew DeClercq,Center,Right,230lb,1790850.0
514,"September 12, 1971","New York, New York",2.6,41.1,37.8,77.9,402,12.7,8.0,1.5,7.3,47.3,Seton Hall University,13.0,1.0,Los Angeles Clippers,1993,6-2,"Saint Anthony's in Jersey City, New Jersey",Terry Dehere,Point Guard and Shooting Guard,Right,190lb,894291.7
516,"May 6, 1994","Sheboygan, Wisconsin",0.8,47.8,28.8,60.6,200,12.7,5.5,3.0,5.4,52.5,University of Wisconsin,18.0,1.0,Houston Rockets,2015,6-9,"Sheboygan Lutheran in Sheboygan, Wisconsin",Sam Dekker,Power Forward,Right,230lb,1720520.0
517,"August 9, 1966","Springfield, Massachusetts",3.2,47.5,35.9,84.0,771,13.5,9.1,2.3,40.6,49.5,North Carolina State University,29.0,2.0,Sacramento Kings,1988,6-4,"Suffield Academy in Suffield, Connecticut",Vinny Del Negro,Point Guard and Shooting Guard,Right,185lb,1625467.5
519,"April 6, 1969","Fresno, California",1.1,52.8,14.3,69.1,413,16.5,11.0,6.2,22.8,52.8,"University of Maryland, University of Arizona",10.0,1.0,Orlando Magic,1991,6-9,"Santa Monica in Santa Monica, California",Bison Dele,Center and Power Forward,Left,235lb,2739000.0
521,"January 28, 1974","Covington, Tennessee",1.9,40.8,34.3,76.9,545,13.7,9.1,2.5,19.5,45.9,University of Kentucky,16.0,1.0,Charlotte Hornets,1996,6-1,"Haywood in Brownsville, Tennessee",Tony Delk,Shooting Guard and Point Guard,Right,189lb,1991168.0
523,"January 24, 1966","Mobile, Alabama",0.2,33.3,0.0,80.0,31,7.8,1.2,0.7,-0.1,33.3,University of Wyoming,30.0,2.0,Detroit Pistons,1988,6-5,"Fox Tech in San Antonio, Texas",Fennis Dembo,Small Forward,Right,215lb,100000.0
525,"April 16, 1985","Wau, South Sudan",2.3,45.6,33.2,76.9,902,15.4,14.8,6.1,74.0,48.5,Duke University,7.0,1.0,Phoenix Suns,2004,6-9,"Blair Academy in Blairstown, New Jersey",Luol Deng,Power Forward and Small Forward,Right,237lb,9765257.0
526,"August 7, 1989","Compton, California",3.4,45.1,28.3,82.8,752,17.9,19.9,4.3,60.3,46.5,University of Southern California,9.0,1.0,Toronto Raptors,2009,6-7,"Compton in Compton, California",DeMar DeRozan,Shooting Guard,Right,220lb,10387316.0
527,"December 20, 1975","Detroit, Michigan",0.8,37.2,19.0,67.2,82,12.2,3.1,1.6,0.6,38.6,Eastern Michigan University,52.0,2.0,San Antonio Spurs,1998,6-4,"Cass Technical in Detroit, Michigan",Derrick Dial,Shooting Guard,Right,184lb,324650.0
528,"September 13, 1996","Kayes, Mali",0.4,58.5,25.0,74.7,133,17.3,5.5,4.6,5.0,58.6,University of Kansas,33.0,2.0,Los Angeles Clippers,2016,6-9,"New American in Centereach, New York",Cheick Diallo,Power Forward,Right,220lb,928041.0
531,"March 4, 1985","San Juan, Puerto Rico",0.2,25.0,0.0,60.0,6,9.9,0.8,0.3,0.0,25.0,University of Miami,52.0,2.0,Los Angeles Clippers,2006,6-2,"Miami Christian School in Miami, Florida",Guillermo Diaz,Shooting Guard,Right,192lb,56065.0
532,"September 16, 1978","Portland, Oregon",2.5,40.1,34.1,83.1,300,12.9,5.8,1.4,5.9,46.0,"University of Washington, Gonzaga University",28.0,1.0,Sacramento Kings,2002,6-0,"Prairie in Vancouver, Washington",Dan Dickau,Point Guard,Right,190lb,1632200.6
533,"July 21, 1978","Denver, Colorado",0.1,40.0,33.3,75.0,19,9.0,1.2,0.6,0.1,47.5,"Tyler Junior College, University of Idaho",50.0,2.0,Utah Jazz,2000,6-8,"East in Denver, Colorado",Kaniel Dickens,Small Forward and Power Forward,Right,215lb,261037.75
534,"June 25, 1975","Greenville, South Carolina",2.6,43.2,40.2,78.4,212,13.4,15.4,2.9,9.6,48.3,University of Arizona,14.0,1.0,Houston Rockets,1998,6-5,"Federal Way in Seattle, Washington",Michael Dickerson,Shooting Guard,Right,190lb,2852193.8
535,"March 1, 1982","Fond du Lac, Wisconsin",2.4,38.8,35.3,84.7,179,12.5,4.8,1.4,5.6,49.5,Marquette University,38.0,2.0,Orlando Magic,2005,6-1,"Goodrich in Fond du Lac, Wisconsin",Travis Diener,Point Guard,Right,175lb,1184594.2
536,"January 18, 1990","Kebemer, Senegal",1.4,50.5,33.2,79.0,452,16.1,8.0,6.2,24.4,51.7,University of Louisville,21.0,1.0,Utah Jazz,2013,6-11,"Huntington St. Joseph Prep in Huntington, West Virginia",Gorgui Dieng,Center and Power Forward,Right,252lb,4140340.5
537,"April 6, 1993","Los Angeles, California",4.5,40.8,32.3,80.1,253,14.7,11.0,2.6,13.5,48.0,University of Colorado,38.0,2.0,Detroit Pistons,2014,6-6,"William Howard Taft in Woodland Hills, California",Spencer Dinwiddie,Point Guard,Right,210lb,949009.0
538,"September 11, 1983","Buffalo, New York",0.3,50.9,50.0,78.6,225,15.6,6.0,3.1,6.5,51.0,Arizona State University,9.0,1.0,Golden State Warriors,2005,6-8,"Garland in Garland, Texas",Ike Diogu,Power Forward,Right,250lb,1554603.4
541,"October 9, 1978","Baltimore, Maryland",1.8,41.3,34.1,83.3,436,12.8,8.4,1.9,6.1,46.1,University of Maryland,17.0,1.0,Washington Wizards,2002,6-3,"Calvert in Baltimore, Maryland",Juan Dixon,Point Guard and Shooting Guard,Right,164lb,1768479.8
542,"June 15, 1977","San Antonio, Texas",0.6,43.9,12.5,79.1,587,10.8,4.9,3.3,12.7,43.9,University of Utah,12.0,1.0,Orlando Magic,1998,6-11,"Central Catholic in Portland, Oregon",Michael Doleac,Center,Right,262lb,1984017.6
544,"May 8, 1980","Ft. Lauderdale, Florida",2.2,41.6,34.9,79.9,728,11.5,7.0,1.3,18.5,46.7,University of Missouri,10.0,1.0,Orlando Magic,2000,6-3,"Dillard in Fort Lauderdale, Florida",Keyon Dooling,Shooting Guard and Point Guard,Right,196lb,2343925.5
545,"December 16, 1983","Baltimore, Maryland",0.4,53.4,0.0,37.5,130,12.1,2.6,3.9,2.9,53.4,University of Memphis,33.0,2.0,Portland Trail Blazers,2008,6-8,"Laurinburg Institute in Laurinburg, North Carolina",Joey Dorsey,Power Forward and Center,Right,268lb,903094.6
546,"February 18, 1996","Pasadena, California",1.3,38.9,35.0,66.9,104,10.5,6.7,2.3,1.0,47.8,University of Oregon,41.0,2.0,Atlanta Hawks,2017,6-5,"Maranatha in Los Angeles, California",Tyler Dorsey,Shooting Guard,Right,183lb,815615.0
547,"May 6, 1994","Houston, Texas",1.4,42.1,36.1,73.6,117,10.9,8.2,3.0,2.1,50.8,"University of Oregon, University of Houston",44.0,2.0,New York Knicks,2017,6-6,"Jack Yates in Houston, Texas",Damyean Dotson,Shooting Guard,Right,210lb,1100000.0
548,"May 16, 1984","Brooklyn, New York",0.7,38.9,31.2,88.4,143,9.7,4.1,1.1,0.0,44.8,Rutgers University,19.0,1.0,Sacramento Kings,2006,6-3,"St. Thomas Moore School in Oakdale, Connecticut",Quincy Douby,Point Guard,Right,175lb,1021849.75
549,"September 15, 1966","Washington, District of Columbia",5.9,48.4,26.7,67.8,765,15.1,11.0,2.2,32.9,49.5,Syracuse University,28.0,2.0,Miami Heat,1989,6-0,"Spingarn in Washington, District of Columbia",Sherman Douglas,Point Guard,Right,180lb,1985770.9
550,"March 16, 1986","Jonesboro, Georgia",2.3,40.4,35.4,82.4,394,13.2,7.6,2.2,12.1,48.6,"Auburn University, Florida State University",29.0,1.0,Los Angeles Lakers,2009,6-2,"Jonesboro in Jonesboro, Georgia",Toney Douglas,Point Guard and Shooting Guard,Right,195lb,1057572.2
551,"January 8, 1987","Detroit, Michigan",1.1,43.9,32.9,83.1,222,11.5,7.1,2.1,5.4,47.1,University of Memphis,40.0,2.0,New Jersey Nets,2008,6-7,"Cass Technical in Detroit, Michigan",Chris Douglas-Roberts,Small Forward and Shooting Guard,Right,200lb,604187.0
555,"November 7, 1962","Wichita, Kansas",0.4,46.7,33.3,64.9,474,7.4,2.1,2.1,4.0,46.9,"Wichita State University, University of Kansas",26.0,2.0,Indiana Pacers,1986,7-1,"Kapaun Mt. Carmel in Wichita, Kansas",Greg Dreiling,Center,Right,250lb,328437.5
556,"September 21, 1974","Baton Rouge, Louisiana",2.2,38.2,37.1,83.0,243,9.6,4.4,1.2,2.4,45.1,Valparaiso University,16.0,1.0,Houston Rockets,1998,6-2,"Valparaiso in Valparaiso, Indiana",Bryce Drew,Point Guard,Right,185lb,1174193.4
557,"September 30, 1954","Vredenburgh, Alabama",1.7,47.0,17.5,74.8,739,20.7,20.7,6.9,68.9,47.1,Gardner-Webb University,25.0,2.0,Atlanta Hawks,1974,6-6,"J.F. Shields in Beatrice, Alabama",John Drew,Power Forward and Small Forward,Right,205lb,250000.0
558,"April 2, 1958","Kansas City, Kansas",5.2,46.7,29.1,79.8,714,14.0,11.4,1.8,24.4,47.5,University of Missouri,17.0,1.0,Detroit Pistons,1980,6-1,"Wyandotte in Kansas City, Kansas",Larry Drew,Point Guard,Right,170lb,610000.0
560,"June 22, 1962","New Orleans, Louisiana",5.6,47.2,31.8,78.8,1086,21.1,20.4,6.1,135.6,49.5,University of Houston,14.0,1.0,Portland Trail Blazers,1983,6-7,"Sterling in Houston, Texas",Clyde Drexler,Shooting Guard,Right,210lb,2395923.0
562,"August 10, 1993","Mount Vernon, New York",1.2,54.3,14.7,44.8,542,22.1,14.1,13.7,56.4,54.4,University of Connecticut,9.0,1.0,Detroit Pistons,2012,6-11,"St. Thomas More School in Oakdale, Connecticut",Andre Drummond,Center,Right,279lb,9425238.0
563,"April 1, 1964","Harvey, Illinois",0.9,46.8,20.8,73.6,684,11.9,11.8,5.8,24.7,46.8,Eastern Illinois University,33.0,2.0,San Antonio Spurs,1986,7-0,"Thornridge in Dolton, Illinois",Kevin Duckworth,Center,Right,275lb,1824700.0
565,"July 10, 1985","San Diego, California",1.6,46.5,39.2,73.2,847,12.7,7.7,3.3,42.1,54.9,Boston College,22.0,1.0,Charlotte Bobcats,2007,6-7,"Horizon in San Diego, California",Jared Dudley,Small Forward and Power Forward and Shooting Guard,Right,237lb,4321639.0
566,"August 31, 1982","Mamou, Louisiana",4.4,39.3,36.3,78.4,606,10.8,6.5,2.3,25.0,48.8,Duke University,38.0,2.0,Chicago Bulls,2004,6-1,"Salmen in Slidell, Louisiana",Chris Duhon,Point Guard,Right,185lb,3307407.8
568,"May 24, 1963","Shreveport, Louisiana",4.5,46.0,38.2,84.3,1018,15.3,16.1,2.2,86.2,49.8,McNeese State University,18.0,1.0,Detroit Pistons,1985,6-3,"Natchitoches Central in Natchitoches, Louisiana",Joe Dumars,Point Guard and Shooting Guard,Right,190lb,1528780.0
569,"May 19, 1969","Tulsa, Oklahoma",1.1,50.9,23.1,69.4,102,15.9,10.6,3.4,4.5,51.1,Oklahoma State University,46.0,2.0,Phoenix Suns,1991,6-7,"Booker T. Washington in Tulsa, Oklahoma",Richard Dumas,Power Forward and Small Forward,Right,200lb,555000.0
570,"August 25, 1972","Chicago, Illinois",1.2,40.4,32.7,60.8,156,12.0,7.3,1.3,1.3,45.4,University of Missouri-Kansas City,19.0,1.0,Dallas Mavericks,1994,6-6,"Millington in Millington, Tennessee",Tony Dumas,Shooting Guard,Right,190lb,1015000.0
571,"April 25, 1976","St. Croix, U.S. VirgIslands",3.0,50.6,17.9,69.6,1392,24.2,19.0,10.8,206.4,50.7,Wake Forest University,1.0,1.0,San Antonio Spurs,1997,6-11,"Saint Dunstan's Episcopal in Saint Croix, U.S. Virgin Islands",Tim Duncan,Center and Power Forward,Right,250lb,11593888.0
573,"September 15, 1980","Fort Worth, Texas",2.2,44.1,37.7,80.3,986,13.9,11.2,4.3,58.5,51.4,Duke University,3.0,1.0,Golden State Warriors,2002,6-9,"Jesuit in Portland, Oregon",Mike Dunleavy,Small Forward and Shooting Guard and Power Forward,Right,230lb,5282073.5
574,"March 18, 1994","New London, Connecticut",4.4,41.7,32.3,72.3,176,11.8,8.6,3.3,1.6,45.0,Providence College,5.0,1.0,Minnesota Timberwolves,2016,6-4,"New London in New London, Connecticut",Kris Dunn,Point Guard,Right,205lb,3959640.0
575,"February 1, 1955","Birmingham, Alabama",1.6,45.7,5.0,72.5,993,10.4,5.1,4.4,39.8,45.7,University of Alabama,41.0,2.0,Portland Trail Blazers,1977,6-4,"West End in Birmingham, Alabama",T.R. Dunn,Shooting Guard and Small Forward,Right,192lb,287500.0
577,"September 29, 1988","Washington, District of Columbia",4.1,49.3,38.1,88.3,849,25.2,27.0,7.1,141.7,54.2,University of Texas at Austin,2.0,1.0,Seattle SuperSonics,2007,6-9,"Montrose Christian School in Rockville, Maryland",Kevin Durant,Power Forward and Small Forward and Shooting Guard,Right,240lb,14564456.0
